Descrição produto;Preço;Código de barras;
CAFÉ VÁCUO TRAD. 3 CORAÇÕES 500G;RR$ 21,90;7896045102440;
ANTITRANSPIRANTE ABOVE WOMEN LADY 48H 150ML;RR$ 10,70;7899674017079;
DESODORANTE AERO ABOVE 150ML/90G SPORT;RR$ 10,70;7899674017116;
BISCOITO AGUIA CREME CRACKER;RR$ 6,90;7896105187233;
CERVEJA BRAHMA LATA 350ML;RR$ 4,50;7891149010509;
CERVEJA ORIGINAL PILSEN LN 300ML;RR$ 4,90;7891991009584;
CERVEJA PILSEN ANTARCTICA ORIGINAL LATA 350ML;RR$ 4,90;7891991015493;
CERVEJA AMSTEL CAIXA 12UN 350ML;RR$ 50,90;7896045504848;
CERVEJA AMSTEL LATA 350ML ;RR$ 4,40;7896045504831;
FARINHA DE TRIGO ANACONDA 1KG;RR$ 7,60;7896419431015;
AGUA TONICA ANTARCTICA LATA ZERO 350ML;RR$ 4,20;7891991000888;
REFRIGERANTE GUARANA ANTARTICA PET 2L;RR$ 10,90;7891991001342;
REFRIGERANTE GUARANA ANTARTICA LATA 350 ML;RR$ 4,30;7891991000826;
REFRIGERANTE GUARANÁ ANTÁRTICA PET 1,5L;RR$ 9,50;7891991008761;
ESPONJA AÇO ASSOLAN 60G 8 UN;RR$ 3,50;7896090122707;
QUEIJO MUSSARELA AURORA FATIADO 150G;RR$ 12,50;7891164027117;
ENERGÉTICO BALY LATA 250ML;RR$ 6,50;7898080662262;
ENERGÉTICO TROPICAL BALY LATA 250ML;RR$ 6,50;7898080664037;
IOGURTE PARCIALMENTE DESNATADO MORANGO BATAVO FRASCO 170G;RR$ 3,10;7891097102851;
BISCOITO RECHE CHOCOLATE BAUDUCO 140G;RR$ 3,90;7891962026138;
BISCOITO RECHE MORANGO BAUDUCO 140G;RR$ 3,90;7891962008325;
PÃO DE FORMA TRADICIONAL BAUDUCCO PACOTE 400G;RR$ 7,80;7891962057613;
PEITO DE PERU DEFUMADO E COZIDO SEARA 150G;RR$ 16,30;7894904268559;
BARBEADOR SENSITIVA BIC 2 UN;RR$ 5,50;070330703629;
AMACIANTE MON BIJOU CONCENTRADO 500ML;RR$ 13,70;7891022855876;
ESPONJA BOM BRIL 1UN;RR$ 3,00;7891022100938;
ESPONJA DE AÇO BOM BRIL 60G;RR$ 5,20;7891022101003;
ESPONJA MULTIUSO ALKLIN;RR$ 2,90;7897750771778;
FEIJÃO BOM PRATO PRETO 1 KG;RR$ 11,90;7896116900418;
CERVEJA BRAHMA DUPLO MALTE CAIXA 12UN 350ML;RR$ 55,90;7891991294959;
CERVEJA BRAHMA DUPLO MALTE LT 350ML;RR$ 4,90;7891991294942;
CERVEJA BRAHMA ZERO ÁLCOOL 350ML;RR$ 4,50;7891149104932;
FILTRO DE PAPEL BRIGITTA 102 32 UN;RR$ 5,20;7891021002103;
FILTRO DE PAPEL BRIGITTA 103 CAIXA 30 UND;RR$ 5,90;7891021002127;
FEIJÃO CARIOCA TIPO 1 CALDO BOM OURO PACOTE 1KG;RR$ 10,90;7896273900313;
VINHO ARGENTINO CABERNET SAUVIGNON CANCILLER 750ML;RR$ 33,90;7790314000133;
VINHO ARGENTINO MALBEC CANCILLER MALBEC 750ML;RR$ 33,90;7790314000232;
VINHO ARGENTINO CHARDONNAY CANCILLER 750ML;RR$ 33,90;7790314000287;
KETCHUP ORIGINAL CEPÊRA 400G;RR$ 13,59;7896025803688;
VINAGRE ALCOOL CHEMIM 750ML;RR$ 4,20;7896297910688;
VINAGRE ALCOOL MAÇA CHEMIM 750ML;RR$ 4,80;7896297910718;
VINAGRE COLORIDO CHEMIM 750ML;RR$ 2,70;7896297910145;
